name,letters,numerology_total,length,pronounce_score,linguistic_flags,meaning_story,domain_com,domain_in,handle_x,handle_instagram,handle_linkedin,mca_similarity_hit,tm_hit_class_35_36_41_42,distinctiveness_score,overall_score,scoring_notes
mantrar,M(4)+A(1)+N(5)+T(4)+R(2)+A(1)+R(2),19,7,10,,Embodies trust and innovation in financial services,taken,available,taken,free,free,,none,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
yogaer,Y(1)+O(7)+G(3)+A(1)+E(5)+R(2),19,6,10,,Embodies trust and innovation in financial services,parked,taken,free,free,free,,none,8,9,0.35*8 + 0.20*10 + 0.20*7 + 0.15*10 + 0.10*10
navaah,N(5)+A(1)+V(6)+A(1)+A(1)+H(5),19,6,10,,Embodies trust and innovation in financial services,available,available,free,free,taken,,none,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
wiseas,W(6)+I(1)+S(3)+E(5)+A(1)+S(3),19,6,10,,Represents intelligent decision making in financial advisory,available,taken,taken,free,free,,none,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
sparkar,S(3)+P(8)+A(1)+R(2)+K(2)+A(1)+R(2),19,7,10,,Represents inspiration and energy in financial advisory,taken,available,free,taken,free,,exact,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
dhanara,D(4)+H(5)+A(1)+N(5)+A(1)+R(2)+A(1),19,7,10,,Embodies trust and innovation in financial services,available,available,free,free,taken,,none,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
viojas,V(6)+I(1)+O(7)+J(1)+A(1)+S(3),19,6,10,,Embodies trust and innovation in financial services,available,available,free,free,free,,close,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
ninava,N(5)+I(1)+N(5)+A(1)+V(6)+A(1),19,6,10,,Embodies trust and innovation in financial services,available,available,free,free,free,,close,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
nova,N(5)+O(7)+V(6)+A(1),19,4,10,,Represents new beginning and innovation in financial advisory,taken,parked,free,free,taken,,none,6,8,0.35*6 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
vedas,V(6)+E(5)+D(4)+A(1)+S(3),19,5,10,,Represents ancient wisdom and knowledge in financial advisory,available,taken,free,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
arther,A(1)+R(2)+T(4)+H(5)+E(5)+R(2),19,6,10,,Represents meaning and prosperity in financial advisory,taken,available,taken,free,taken,true,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
niver,N(5)+I(1)+V(6)+E(5)+R(2),19,5,10,,Represents foundation and investment in financial advisory,taken,parked,taken,free,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
bodha,B(2)+O(7)+D(4)+H(5)+A(1),19,5,10,,Represents enlightenment and understanding in financial advisory,available,parked,taken,taken,taken,true,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
sutras,S(3)+U(6)+T(4)+R(2)+A(1)+S(3),19,6,10,,Embodies trust and innovation in financial services,taken,available,taken,taken,taken,,close,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
siddhay,S(3)+I(1)+D(4)+D(4)+H(5)+A(1)+Y(1),19,7,10,,Embodies trust and innovation in financial services,taken,available,free,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
ridher,R(2)+I(1)+D(4)+H(5)+E(5)+R(2),19,6,10,,Embodies trust and innovation in financial services,available,taken,taken,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
vishas,V(6)+I(1)+S(3)+H(5)+A(1)+S(3),19,6,10,,Embodies trust and innovation in financial services,taken,available,taken,taken,taken,,close,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
ojaser,O(7)+J(1)+A(1)+S(3)+E(5)+R(2),19,6,10,,Embodies trust and innovation in financial services,taken,parked,free,free,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
safalar,S(3)+A(1)+F(8)+A(1)+L(3)+A(1)+R(2),19,7,10,,Represents success and achievement in financial advisory,taken,parked,free,free,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
vikasah,V(6)+I(1)+K(2)+A(1)+S(3)+A(1)+H(5),19,7,10,,Represents development and growth in financial advisory,taken,available,free,taken,taken,,close,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
chayanar,C(3)+H(5)+A(1)+Y(1)+A(1)+N(5)+A(1)+R(2),19,8,10,,Embodies trust and innovation in financial services,available,available,free,free,taken,,none,7,8,0.35*7 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
navaan,N(5)+A(1)+V(6)+A(1)+A(1)+N(5),19,6,10,,Embodies trust and innovation in financial services,available,taken,taken,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
yojanaar,Y(1)+O(7)+J(1)+A(1)+N(5)+A(1)+A(1)+R(2),19,8,10,,Embodies trust and innovation in financial services,available,taken,free,taken,taken,,none,7,8,0.35*7 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
rachanaa,R(2)+A(1)+C(3)+H(5)+A(1)+N(5)+A(1)+A(1),19,8,10,,Embodies trust and innovation in financial services,taken,available,taken,free,taken,,none,7,8,0.35*7 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
nirmana,N(5)+I(1)+R(2)+M(4)+A(1)+N(5)+A(1),19,7,10,,Embodies trust and innovation in financial services,available,parked,taken,taken,free,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
anandar,A(1)+N(5)+A(1)+N(5)+D(4)+A(1)+R(2),19,7,10,,Embodies trust and innovation in financial services,available,available,taken,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
anandra,A(1)+N(5)+A(1)+N(5)+D(4)+R(2)+A(1),19,7,10,,Embodies trust and innovation in financial services,available,available,taken,free,taken,,exact,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
coreay,C(3)+O(7)+R(2)+E(5)+A(1)+Y(1),19,6,10,,Embodies trust and innovation in financial services,parked,available,free,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
beamer,B(2)+E(5)+A(1)+M(4)+E(5)+R(2),19,6,10,,Embodies trust and innovation in financial services,parked,available,taken,taken,taken,,close,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
pranaay,P(8)+R(2)+A(1)+N(5)+A(1)+A(1)+Y(1),19,7,10,,Embodies trust and innovation in financial services,taken,available,taken,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
pranaya,P(8)+R(2)+A(1)+N(5)+A(1)+Y(1)+A(1),19,7,10,,Embodies trust and innovation in financial services,taken,parked,free,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
dhanaar,D(4)+H(5)+A(1)+N(5)+A(1)+A(1)+R(2),19,7,10,,Embodies trust and innovation in financial services,available,taken,taken,free,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
viarth,V(6)+I(1)+A(1)+R(2)+T(4)+H(5),19,6,10,,Represents meaning and prosperity in financial advisory,available,parked,free,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
vimitra,V(6)+I(1)+M(4)+I(1)+T(4)+R(2)+A(1),19,7,10,,Represents trusted friend and ally in financial advisory,parked,parked,taken,taken,free,,none,8,8,0.35*8 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
viridh,V(6)+I(1)+R(2)+I(1)+D(4)+H(5),19,6,10,,Embodies trust and innovation in financial services,available,taken,free,taken,taken,true,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
visage,V(6)+I(1)+S(3)+A(1)+G(3)+E(5),19,6,10,,Embodies trust and innovation in financial services,available,available,taken,free,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
vibeam,V(6)+I(1)+B(2)+E(5)+A(1)+M(4),19,6,10,,Embodies trust and innovation in financial services,available,parked,taken,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
sutej,S(3)+U(6)+T(4)+E(5)+J(1),19,5,10,,Represents brilliance and energy in financial advisory,available,taken,free,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
samsahay,S(3)+A(1)+M(4)+S(3)+A(1)+H(5)+A(1)+Y(1),19,8,10,,Embodies trust and innovation in financial services,taken,available,free,free,taken,,none,7,8,0.35*7 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
prasat,P(8)+R(2)+A(1)+S(3)+A(1)+T(4),19,6,10,,Represents truth and excellence in financial advisory,taken,available,taken,taken,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
nivikas,N(5)+I(1)+V(6)+I(1)+K(2)+A(1)+S(3),19,7,10,,Represents foundation and investment in financial advisory,taken,available,taken,taken,free,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
mitraer,M(4)+I(1)+T(4)+R(2)+A(1)+E(5)+R(2),19,7,10,,Represents trusted friend and ally in financial advisory,taken,taken,taken,free,taken,,none,8,7,0.35*8 + 0.20*10 + 0.20*3 + 0.15*3 + 0.10*10
siddhya,S(3)+I(1)+D(4)+D(4)+H(5)+Y(1)+A(1),19,7,7,,Embodies trust and innovation in financial services,parked,taken,taken,free,taken,,none,8,7,0.35*8 + 0.20*7 + 0.20*7 + 0.15*3 + 0.10*10
vardha,V(6)+A(1)+R(2)+D(4)+H(5)+A(1),19,6,10,,Embodies trust and innovation in financial services,taken,taken,free,free,taken,,none,8,7,0.35*8 + 0.20*10 + 0.20*3 + 0.15*7 + 0.10*10
safalra,S(3)+A(1)+F(8)+A(1)+L(3)+R(2)+A(1),19,7,10,,Represents success and achievement in financial advisory,taken,taken,free,free,taken,,none,8,7,0.35*8 + 0.20*10 + 0.20*3 + 0.15*7 + 0.10*10
vikasan,V(6)+I(1)+K(2)+A(1)+S(3)+A(1)+N(5),19,7,10,,Represents development and growth in financial advisory,taken,taken,taken,taken,free,,none,8,7,0.35*8 + 0.20*10 + 0.20*3 + 0.15*3 + 0.10*10
lakshyaar,L(3)+A(1)+K(2)+S(3)+H(5)+Y(1)+A(1)+A(1)+R(2),19,9,6,,Embodies trust and innovation in financial services,available,taken,free,taken,taken,,none,7,7,0.35*7 + 0.20*6 + 0.20*10 + 0.15*3 + 0.10*10
lakshyara,L(3)+A(1)+K(2)+S(3)+H(5)+Y(1)+A(1)+R(2)+A(1),19,9,6,,Embodies trust and innovation in financial services,parked,available,taken,taken,taken,,none,7,7,0.35*7 + 0.20*6 + 0.20*10 + 0.15*0 + 0.10*10
chayanra,C(3)+H(5)+A(1)+Y(1)+A(1)+N(5)+R(2)+A(1),19,8,10,,Embodies trust and innovation in financial services,available,parked,taken,taken,taken,,none,7,7,0.35*7 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
yojanara,Y(1)+O(7)+J(1)+A(1)+N(5)+A(1)+R(2)+A(1),19,8,10,,Embodies trust and innovation in financial services,available,available,taken,taken,taken,,none,7,7,0.35*7 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
brightay,B(2)+R(2)+I(1)+G(3)+H(5)+T(4)+A(1)+Y(1),19,8,7,,Embodies trust and innovation in financial services,taken,parked,free,taken,taken,,none,7,7,0.35*7 + 0.20*7 + 0.20*7 + 0.15*3 + 0.10*10
brightya,B(2)+R(2)+I(1)+G(3)+H(5)+T(4)+Y(1)+A(1),19,8,6,,Embodies trust and innovation in financial services,taken,available,taken,taken,taken,,none,7,7,0.35*7 + 0.20*6 + 0.20*10 + 0.15*0 + 0.10*10
sageer,S(3)+A(1)+G(3)+E(5)+E(5)+R(2),19,6,10,,Embodies trust and innovation in financial services,taken,taken,free,taken,taken,,none,8,7,0.35*8 + 0.20*10 + 0.20*3 + 0.15*3 + 0.10*10
coreya,C(3)+O(7)+R(2)+E(5)+Y(1)+A(1),19,6,10,,Embodies trust and innovation in financial services,taken,taken,taken,free,taken,,none,8,7,0.35*8 + 0.20*10 + 0.20*3 + 0.15*3 + 0.10*10
syncer,S(3)+Y(1)+N(5)+C(3)+E(5)+R(2),19,6,5,,Embodies trust and innovation in financial services,available,available,taken,free,taken,,none,8,7,0.35*8 + 0.20*5 + 0.20*10 + 0.15*3 + 0.10*10
guide,G(3)+U(6)+I(1)+D(4)+E(5),19,5,10,,Embodies trust and innovation in financial services,taken,taken,taken,taken,taken,,none,8,6,0.35*8 + 0.20*10 + 0.20*3 + 0.15*0 + 0.10*10
mantrra,M(4)+A(1)+N(5)+T(4)+R(2)+R(2)+A(1),19,7,7,,Embodies trust and innovation in financial services,taken,taken,taken,taken,free,,none,8,6,0.35*8 + 0.20*7 + 0.20*3 + 0.15*3 + 0.10*10
sparkra,S(3)+P(8)+A(1)+R(2)+K(2)+R(2)+A(1),19,7,7,,Represents inspiration and energy in financial advisory,taken,taken,taken,taken,free,,none,8,6,0.35*8 + 0.20*7 + 0.20*3 + 0.15*3 + 0.10*10
viniv,V(6)+I(1)+N(5)+I(1)+V(6),19,5,10,,Represents foundation and investment in financial advisory,taken,taken,taken,taken,taken,,none,8,6,0.35*8 + 0.20*10 + 0.20*3 + 0.15*0 + 0.10*10
viyoga,V(6)+I(1)+Y(1)+O(7)+G(3)+A(1),19,6,10,,Embodies trust and innovation in financial services,taken,taken,taken,taken,taken,,none,8,6,0.35*8 + 0.20*10 + 0.20*3 + 0.15*0 + 0.10*10
sugyan,S(3)+U(6)+G(3)+Y(1)+A(1)+N(5),19,6,10,,Embodies trust and innovation in financial services,taken,taken,taken,taken,taken,,none,8,6,0.35*8 + 0.20*10 + 0.20*3 + 0.15*0 + 0.10*10
sumarg,S(3)+U(6)+M(4)+A(1)+R(2)+G(3),19,6,10,,Embodies trust and innovation in financial services,taken,taken,taken,taken,taken,,none,8,6,0.35*8 + 0.20*10 + 0.20*3 + 0.15*0 + 0.10*10
visync,V(6)+I(1)+S(3)+Y(1)+N(5)+C(3),19,6,5,,Embodies trust and innovation in financial services,taken,taken,taken,taken,taken,,none,8,5,0.35*8 + 0.20*5 + 0.20*3 + 0.15*0 + 0.10*10
